id,title,authors,subjects,bookshelves,languages,download_count,media_type,copyright
38995,The Sheep and Lamb,"Miller, Thomas",Benevolence -- Juvenile fiction; Children -- Conduct of life -- Juvenile fiction; Conduct of life -- Juvenile fiction; Country life -- Juvenile fiction; Ducks -- Juvenile fiction; Friendship -- Juvenile fiction; Pets -- Juvenile fiction; Sheep -- Juvenile fiction; Slaughtering and slaughter-houses -- Juvenile fiction,Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
43434,"Harper's Young People, November 23, 1880: An Illustrated Monthly",Various,"Children's periodicals, American",Category: Children & Young Adult Reading; Category: Short Stories,en,225,Text,False
48324,"Harper's Young People, July 26, 1881: An Illustrated Weekly",Various,"Children's periodicals, American",Category: Adventure; Category: Children & Young Adult Reading; Category: Poetry; Category: Short Stories,en,225,Text,False
49100,"Harper's Round Table, November 26, 1895",Various,Children's periodicals,Category: Adventure; Category: Children & Young Adult Reading; Category: Journals,en,225,Text,False
49295,After Taps,"Baker, George M. (George Melville), Gale, Rachel Baker","United States -- History -- Civil War, 1861-1865 -- Drama",Category: History - American; Category: History - Warfare; Category: Plays/Films/Dramas,en,225,Text,False
50478,"The Girl's Own Paper, Vol. XX, No. 984, November 5, 1898",Various,Children's literature -- Periodicals,Category: British Literature; Category: Children & Young Adult Reading; Category: Historical Novels; Category: Poetry; Category: Short Stories; The Girls Own Paper,en,225,Text,False
51055,"Frenzied Liberty; The Myth of ""A Rich Man's War""","Kahn, Otto H.","Socialism -- United States; World War, 1914-1918 -- Finance -- United States; World War, 1914-1918 -- United States",Category: History - American; Category: History - Modern (1750+); Category: Politics,en,225,Text,False
51803,The Lost Dispatch,Anonymous,"United States -- History -- Civil War, 1861-1865 -- Personal narratives",Category: Adventure; Category: Historical Novels; Category: History - American; Category: History - Warfare; Category: Novels,en,225,Text,False
53479,Don Gordon's Shooting-Box,"Castlemon, Harry",Brothers -- Juvenile fiction; Children -- Conduct of life -- Juvenile fiction; Conduct of life -- Juvenile fiction; Firearms -- Juvenile fiction; Friendship -- Juvenile fiction; Indians of North America -- Juvenile fiction; Students -- Juvenile fiction,Category: Adventure; Category: Children & Young Adult Reading; Category: Novels; Children's Fiction,en,225,Text,False
57057,Healthful Sports for Young Ladies,"St. Sernin, Mademoiselle",Games for girls; Girls -- Health and hygiene; Girls -- Recreation; Sports for girls; Sports for women; Women -- Health and hygiene; Women -- Recreation,Category: Children & Young Adult Reading; Category: Health & Medicine; Category: How To ...; Category: Sports/Hobbies,en,225,Text,False
57526,"Sarah Winnemucca's Practical Solution of the Indian Problem: A Letter to Dr. Lyman Abbot of the ""Christian Union""","Peabody, Elizabeth Palmer","Indians of North America -- Education; Paiute Indians -- Education; Winnemucca, Sarah, 1844?-1891",Category: History - American; Category: History - Other; Category: Parenthood & Family Relations; Category: Teaching & Education,en,225,Text,False
57793,The Military History of the 123d Regiment Ohio Volunteer Infantry,,"United States -- History -- Civil War, 1861-1865 -- Regimental histories; United States. Army. Ohio Infantry Regiment, 123rd (1862-1865)",Category: History - American; Category: History - Warfare,en,225,Text,False
57974,"The American Missionary — Volume 36, No. 6, June, 1882",Various,Congregational churches -- Missions -- Periodicals; Home missions -- Periodicals,Category: History - American; Category: Journals; Category: Teaching & Education; The American Missionary,en,225,Text,False
58832,"Harper's Young People, July 25, 1882: An Illustrated Weekly",Various,"Children's periodicals, American",Category: Adventure; Category: Children & Young Adult Reading,en,225,Text,False
59155,"Pueblo Bonito: Chaco Culture National Historic Park, New Mexico",Southwest Parks and Monuments Association,Archaeological parks -- New Mexico -- Chaco Canyon; Chaco Culture National Historical Park (N.M.); Pueblo Indians -- New Mexico -- Chaco Canyon -- Antiquities; Pueblos -- New Mexico -- Chaco Culture National Historical Park,Category: Archaeology & Anthropology; Category: History - American,en,225,Text,False
60969,"A Summer in Maryland and Virginia; Or, Campaigning with the 149th Ohio Volunteer Infantry.: A Sketch of Events Connected with the Service of the Regiment in Maryland and the Shenandoah Valley, Virginia","Perkins, George","United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865 -- Regimental histories -- Ohio; United States. Army. Ohio Infantry Regiment, 149th (1864)",Category: Biographies; Category: History - American; Category: History - Warfare,en,225,Text,False
62052,Bailey's Dam,"Smith, Steven D., Castille, George J.","Bailey's Dam (La.); Military engineering -- United States; United States -- History -- Civil War, 1861-1865",Category: Archaeology & Anthropology; Category: Engineering & Technology; Category: History - American; Category: History - Warfare,en,225,Text,False
62093,Rick and Ruddy Out West,"Garis, Howard Roger",Adventure and adventurers -- Juvenile fiction; Western stories,Category: Adventure; Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
64979,"Youth, Volume 1, Number 5, July 1902: An Illustrated Monthly Journal for Boys & Girls",Various,Children's literature -- Periodicals,Category: Adventure; Category: Children & Young Adult Reading; Category: Short Stories,en,225,Text,False
70366,Antiquities of the Mesa Verde National Park : $b Spruce-tree House,"Fewkes, Jesse Walter",Cliff-dwellers -- Colorado -- Mesa Verde National Park; Government publications; Indians of North America -- Colorado -- Antiquities; Mesa Verde National Park (Colo.) -- Antiquities,Category: Archaeology & Anthropology; Category: History - American,en,225,Text,False
71175,Bunny Brown and his sister Sue on the rolling ocean,"Hope, Laura Lee",Families -- Juvenile fiction; Islands -- Juvenile fiction; Ocean travel -- Juvenile fiction; Siblings -- Juvenile fiction,Category: Adventure; Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
72044,Nature readers : $b Sea-side and way-side. No. 3,"Wright, Julia McNair",Nature study -- Juvenile literature; Readers,Category: Children & Young Adult Reading; Category: Nature/Gardening/Animals,en,225,Text,False
73715,Cudjo's own story of the last African slaver,"Hurston, Zora Neale","Clotilda (Ship); Enslaved persons -- Alabama -- Biography; Lewis, Cudjo, 1841?-1935; Mobile (Ala.) -- History -- 19th century; Slave ships -- Alabama; Slave trade -- Africa -- History -- 19th century; Slave trade -- Alabama -- Mobile -- History -- 19th century; Slave trade -- United States -- History -- 19th century; Slavery -- Alabama -- History -- 19th century; West Africans -- Alabama -- Biography",Category: Archaeology & Anthropology; Category: Biographies; Category: History - American; Category: History - Modern (1750+),en,225,Text,False
73850,Frank Merriwell's danger,"Standish, Burt L.","Adventure stories; Dime novels; Merriwell, Frank (Fictitious character) -- Juvenile fiction; Popular literature",Category: Adventure; Category: American Literature; Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
75471,"Rhoda's education : $b or, Too much of a good thing.","Guernsey, Lucy Ellen",Girls -- Education -- Juvenile fiction; Sunday school literature,Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
76408,Willy's travels on the railroad : $b Intended for young children,"Marcet, Mrs. (Jane Haldimand)",Children's stories; Country life -- Juvenile fiction; Families -- Juvenile fiction; Nature stories; Railroad stories,Category: British Literature; Category: Children & Young Adult Reading,en,225,Text,False
76667,"No royal road : $b or, The thing that lies the nearest. A story for girls.","Burch, Florence E.",Children and death -- Juvenile fiction; Christian life -- Juvenile fiction; Friendship -- Juvenile fiction; Grandmothers -- Juvenile fiction; Household employees -- Juvenile fiction; Loneliness -- Juvenile fiction; Orphans -- Juvenile fiction; Self-culture -- Juvenile fiction,Category: British Literature; Category: Children & Young Adult Reading; Category: Novels,en,225,Text,False
4988,"The Outdoor Girls at Wild Rose Lodge; Or, The Hermit of Moonlight Falls","Hope, Laura Lee",Girls -- Juvenile fiction; Girls -- Societies and clubs -- Juvenile fiction,Category: Adventure; Category: American Literature; Category: Children & Young Adult Reading; Category: Novels; Children's Book Series,en,224,Text,False
